date,open,high,low,close,adj_close,volume,range,Year,return
10/27/2023,124.0299988,124.4400024,121.4599991,123.4000015,122.6708298,37367700,2.980003357,2023,-0.000324051
10/30/2023,124.4599991,126.5500031,123.8799973,125.75,125.0069351,24165600,2.670005798,2023,0.019043748
10/31/2023,126.2699966,126.5599976,123.9250031,125.3000031,124.5596008,21123400,2.634994507,2023,-0.003578505
11/1/2023,125.3399963,127.7399979,124.9250031,127.5699997,126.816185,26536600,2.814994812,2023,0.018116493
11/2/2023,129.5599976,130.0899963,128.1100006,128.5800018,127.8202057,24091700,1.979995728,2023,0.007917239
11/3/2023,129.0899963,130.7299957,129.0099945,130.3699951,129.5996399,19529400,1.720001221,2023,0.013921242
11/6/2023,130.2200012,131.5599976,129.9299927,131.4499969,130.6732483,15360400,1.630004883,2023,0.008284129
11/7/2023,131.9799957,133.2799988,131.1399994,132.3999939,131.6176453,19223800,2.13999939,2023,0.007227059
11/8/2023,132.3600006,133.5399933,132.1600037,133.2599945,132.4725647,15093600,1.379989624,2023,0.006495473
11/9/2023,133.3600006,133.9600067,131.5099945,131.6900024,130.9118652,17976500,2.450012207,2023,-0.011781421
11/10/2023,131.5299988,134.2700043,130.8699951,134.0599976,133.2678528,20872900,3.400009155,2023,0.017996773
11/13/2023,133.3600006,134.1100006,132.7700043,133.6399994,132.8503265,16409900,1.339996338,2023,-0.003132912
11/14/2023,135.6499939,137.2400055,135.1000061,135.4299927,134.6297302,22317300,2.13999939,2023,0.013394143
11/15/2023,136.6399994,136.8399963,135.3300018,136.3800049,135.5741272,15840900,1.509994507,2023,0.007014784
11/16/2023,136.9600067,138.8800049,136.0800018,138.6999969,137.8804169,17615100,2.800003052,2023,0.017011233
11/17/2023,137.8200073,138,135.4799957,136.9400024,136.1308441,25565300,2.520004272,2023,-0.012689218
11/20/2023,135.5,138.4250031,135.4900055,137.9199982,137.1050262,19569400,2.934997559,2023,0.007156388
11/21/2023,137.9400024,138.9649963,137.7050018,138.6199951,137.8008881,17648100,1.259994507,2023,0.005075384
11/22/2023,139.1000061,141.1000061,139,140.0200043,139.192627,17306400,2.100006104,2023,0.010099619
11/24/2023,139.5399933,139.677002,137.4700012,138.2200012,137.4032593,8828600,2.207000732,2023,-0.012855328
11/27/2023,137.5700073,139.6300049,137.5399933,138.0500031,137.2342529,17886400,2.090011597,2023,-0.00122991
11/28/2023,137.6300049,138.6600037,137.0399933,138.6199951,137.8008881,17046900,1.620010376,2023,0.004128881
11/29/2023,138.9850006,139.6699982,136.2949982,136.3999939,135.5940094,21014700,3.375,2023,-0.016015014
11/30/2023,136.3999939,136.9600067,132.7899933,133.9199982,133.1286621,29913500,4.170013428,2023,-0.018181788
12/1/2023,133.3200073,133.5,132.1519928,133.3200073,132.5322113,24268000,1.348007202,2023,-0.004480218
12/4/2023,131.2940063,131.4499969,129.3999939,130.6300049,129.8581085,24117100,2.050003052,2023,-0.020177035
12/5/2023,130.3699951,133.5399933,129.7299957,132.3899994,131.6077118,19235100,3.809997559,2023,0.013473126
12/6/2023,132.8999939,133.3099976,131.3099976,131.4299927,130.6533661,16360600,2,2023,-0.007251354
12/7/2023,136.6000061,140,136.2299957,138.4499969,137.6318817,38419400,3.770004272,2023,0.053412498
12/8/2023,135.6600037,137.9900055,135.5700073,136.6399994,135.8325958,23016100,2.419998169,2023,-0.013073294
12/11/2023,133.8200073,134.7899933,132.8899994,134.6999969,133.9040527,24502900,1.899993896,2023,-0.01419791
12/12/2023,133.2700043,134.5399933,132.8300018,133.6399994,132.8503265,26584000,1.709991455,2023,-0.007869321
12/13/2023,134.5449982,134.7799988,132.9499969,133.9700012,133.17836,25414500,1.830001831,2023,0.002469334
12/14/2023,134.7700043,135.0350037,131.0599976,133.1999969,132.4129181,29619100,3.975006104,2023,-0.005747587
12/15/2023,132.9199982,134.8300018,132.6300049,133.8399963,133.0491486,58594000,2.199996948,2023,0.0048048
12/18/2023,133.8600006,138.3800049,133.7700043,137.1900024,136.3793335,25699800,4.61000061,2023,0.025029933
12/19/2023,138,138.7700043,137.4499969,138.1000061,137.2839508,20661000,1.320007324,2023,0.006633163
